software,os,installation_steps,source
Terraform,Windows 11,Download Terraform ZIP from hashicorp.com || Extract to directory || Add to PATH || Verify with terraform version || Initialize workspace,Official Guide
Terraform,Windows 10,Download Terraform ZIP from hashicorp.com || Extract to directory || Add to PATH || Verify with terraform version || Initialize workspace,Official Guide
Terraform,MacOS,Install via Homebrew: brew install terraform || Verify with terraform version || Initialize workspace || Configure providers,Official Guide
Anaconda,Windows 11,Download Anaconda installer from anaconda.com || Run installer || Choose installation directory || Add to PATH || Complete installation || Launch Anaconda Navigator,Official Guide
Anaconda,Windows 10,Download Anaconda installer from anaconda.com || Run installer || Choose installation directory || Add to PATH || Complete installation || Launch Anaconda Navigator,Official Guide
Anaconda,MacOS,Download Anaconda installer from anaconda.com || Run installer package || Follow setup wizard || Add to PATH || Launch Anaconda Navigator,Official Guide
Jupyter Notebook,Windows 11,Install Python first || Run: pip install jupyter || Launch with: jupyter notebook || Or install Anaconda which includes Jupyter,Official Guide
Jupyter Notebook,Windows 10,Install Python first || Run: pip install jupyter || Launch with: jupyter notebook || Or install Anaconda which includes Jupyter,Official Guide
Jupyter Notebook,MacOS,Install Python first || Run: pip3 install jupyter || Launch with: jupyter notebook || Or install Anaconda which includes Jupyter,Official Guide
TensorFlow,Windows 11,Install Python first || Run: pip install tensorflow || Verify installation || Or use Anaconda: conda install tensorflow,Official Guide
TensorFlow,Windows 10,Install Python first || Run: pip install tensorflow || Verify installation || Or use Anaconda: conda install tensorflow,Official Guide
TensorFlow,MacOS,Install Python first || Run: pip3 install tensorflow || Verify installation || Or use Anaconda: conda install tensorflow,Official Guide
PyTorch,Windows 11,Install Python first || Visit pytorch.org for installation command || Run pip install command || Verify installation || Test with import torch,Official Guide
PyTorch,Windows 10,Install Python first || Visit pytorch.org for installation command || Run pip install command || Verify installation || Test with import torch,Official Guide
PyTorch,MacOS,Install Python first || Visit pytorch.org for installation command || Run pip3 install command || Verify installation || Test with import torch,Official Guide
Adobe Premiere Pro,Windows 11,Download installer from Adobe website || Run installer as administrator || Sign in to Adobe account || Enter license key || Complete installation || Launch Premiere Pro,Official Guide
Adobe Premiere Pro,Windows 10,Download installer from Adobe website || Run installer as administrator || Sign in to Adobe account || Enter license key || Complete installation || Launch Premiere Pro,Official Guide
Adobe Premiere Pro,MacOS,Download DMG from Adobe website || Open DMG and drag to Applications || Sign in to Adobe account || Enter license key || Launch Premiere Pro,Official Guide
Adobe Illustrator,Windows 11,Download installer from Adobe website || Run installer as administrator || Sign in to Adobe account || Enter license key || Complete installation || Launch Illustrator,Official Guide
Adobe Illustrator,Windows 10,Download installer from Adobe website || Run installer as administrator || Sign in to Adobe account || Enter license key || Complete installation || Launch Illustrator,Official Guide
Adobe Illustrator,MacOS,Download DMG from Adobe website || Open DMG and drag to Applications || Sign in to Adobe account || Enter license key || Launch Illustrator,Official Guide
Figma,Windows 11,Download Figma Desktop from figma.com || Run installer || Follow setup wizard || Sign in or create account || Complete installation,Official Guide
Figma,Windows 10,Download Figma Desktop from figma.com || Run installer || Follow setup wizard || Sign in or create account || Complete installation,Official Guide
Figma,MacOS,Download Figma DMG from figma.com || Open DMG and drag to Applications || Launch Figma || Sign in or create account,Official Guide
Sketch,MacOS,Download Sketch from sketch.com || Open DMG and drag to Applications || Launch Sketch || Sign in or create account || Enter license key,Official Guide
OBS Studio,Windows 11,Download OBS Studio installer from obsproject.com || Run installer || Follow setup wizard || Configure settings || Complete installation,Official Guide
OBS Studio,Windows 10,Download OBS Studio installer from obsproject.com || Run installer || Follow setup wizard || Configure settings || Complete installation,Official Guide
OBS Studio,MacOS,Download OBS Studio DMG from obsproject.com || Open DMG and drag to Applications || Launch OBS || Configure settings,Official Guide
Steam,Windows 11,Download Steam installer from store.steampowered.com || Run installer || Follow setup wizard || Create or sign in to account || Complete installation,Official Guide
Steam,Windows 10,Download Steam installer from store.steampowered.com || Run installer || Follow setup wizard || Create or sign in to account || Complete installation,Official Guide
Steam,MacOS,Download Steam DMG from store.steampowered.com || Open DMG and drag to Applications || Launch Steam || Create or sign in to account,Official Guide
Epic Games Launcher,Windows 11,Download Epic Games Launcher from epicgames.com || Run installer || Follow setup wizard || Create or sign in to account || Complete installation,Official Guide
Epic Games Launcher,Windows 10,Download Epic Games Launcher from epicgames.com || Run installer || Follow setup wizard || Create or sign in to account || Complete installation,Official Guide
Epic Games Launcher,MacOS,Download Epic Games Launcher DMG from epicgames.com || Open DMG and drag to Applications || Launch Epic Games || Create or sign in to account,Official Guide
