event_id,created_at,user_id,error_type,context,candidates_shown,clicked_id,contacted_id,chosen_id,solved,user_rating,time_to_resolution_days,comment
21,2025-08-12 01:19:33,user_75,GPU Overheat,"{'budget': 'high', 'urgency': 'low', 'district': 'Kandy'}","['KEG365', 'KAN051', 'BAT228', 'COL013', 'GAM020']",KAN051,KAN051,KAN051,True,4,2.93,
22,2025-09-23 05:11:33,user_107,Blue Screen (BSOD),"{'budget': 'high', 'urgency': 'low', 'district': 'Matara'}","['MON331', 'KIL165', 'RAT357', 'JAF141', 'MAT114', 'ANU295', 'MAT110']",MAT110,,MAT110,True,5,0.77,
23,2025-09-12 22:41:33,user_49,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'high', 'district': 'Kegalle'}","['GAM030', 'KEG368', 'GAM026', 'COL005', 'KUR257']",KUR257,,KEG368,True,5,2.22,
24,2025-08-11 19:06:33,user_99,Data Recovery,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kandy'}","['MAT109', 'KAN058', 'COL009', 'GAM029', 'MON332', 'NUW083']",KAN058,,KAN058,True,4,0.63,
25,2025-08-16 22:00:33,user_60,Boot Failure,"{'budget': 'low', 'urgency': 'low', 'district': 'Anuradhapura'}","['GAL096', 'ANU290', 'PUT273', 'KUR256', 'GAL092', 'MAT073', 'MAT061', 'KEG367']",ANU290,MAT073,ANU290,True,4,2.64,
26,2025-08-24 00:57:33,user_83,Data Recovery,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Colombo'}","['KEG361', 'MAN166', 'MUL182', 'PUT278', 'GAL101', 'COL006', 'VAV196']",COL006,COL006,COL006,True,5,0.1,
27,2025-09-05 23:09:33,user_68,Data Recovery,"{'budget': 'medium', 'urgency': 'low', 'district': 'Kalutara'}","['BAD323', 'AMP241', 'KAL033', 'MAT069', 'KIL156', 'KEG371', 'GAL091', 'HAM122']",KAL033,,KAL033,True,4,2.03,
28,2025-09-23 05:31:33,user_3,PSU / Power Issue,"{'budget': 'low', 'urgency': 'high', 'district': 'Mannar'}","['MAN168', 'TRI211', 'MUL195', 'HAM124', 'RAT356', 'MON331', 'COL003', 'HAM122']",MAN168,MAN168,MAN168,True,5,1.85,
29,2025-09-03 20:57:33,user_88,OS Installation,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kalutara'}","['MAT063', 'ANU287', 'COL014', 'KAL038', 'HAM133', 'HAM124', 'AMP243']",KAL038,KAL038,KAL038,True,5,3.88,
30,2025-08-22 03:29:33,user_28,Data Recovery,"{'budget': 'low', 'urgency': 'low', 'district': 'Batticaloa'}","['PUT273', 'KAN046', 'BAT236', 'POL307', 'MAT119', 'MAT062', 'BAT231', 'NUW087']",BAT236,,BAT236,True,5,1.27,
31,2025-09-02 19:41:33,user_115,Data Recovery,"{'budget': 'low', 'urgency': 'high', 'district': 'Polonnaruwa'}","['KAN050', 'POL304', 'POL306', 'MAN166', 'KUR256', 'ANU298']",POL304,,POL304,True,4,1.12,
32,2025-09-18 18:30:33,user_71,OS Installation,"{'budget': 'medium', 'urgency': 'high', 'district': 'Hambantota'}","['MAT062', 'KAL039', 'MAN169', 'ANU286', 'MAN170', 'HAM124', 'KAL040', 'HAM129']",HAM129,HAM129,HAM129,True,5,4.91,
33,2025-08-17 00:11:33,user_55,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Mullaitivu'}","['KAN049', 'MAN167', 'COL012', 'AMP254', 'NUW083', 'MUL185']",AMP254,MUL185,MUL185,False,3,5.25,
34,2025-09-15 22:51:33,user_38,Data Recovery,"{'budget': 'medium', 'urgency': 'low', 'district': 'Batticaloa'}","['MAT114', 'RAT353', 'NUW081', 'BAT227', 'AMP246']",BAT227,BAT227,BAT227,True,5,3.01,
35,2025-09-02 01:36:33,user_113,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Hambantota'}","['MON336', 'GAL094', 'MON338', 'KEG362', 'HAM125', 'KAL044', 'MON341', 'HAM121']",MON341,,HAM121,True,5,4.09,
36,2025-08-29 05:43:33,user_12,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'high', 'district': 'Hambantota'}","['HAM128', 'POL312', 'COL013', 'MAT071', 'KIL159', 'KEG363']",HAM128,HAM128,HAM128,True,5,2.26,
37,2025-09-17 01:48:33,user_88,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'medium', 'district': 'Matara'}","['KAL036', 'MAT106', 'KUR268', 'RAT347', 'RAT356', 'HAM135', 'MAT119', 'GAL099']",KAL036,,MAT106,True,5,2.05,
38,2025-08-21 21:05:33,user_17,PSU / Power Issue,"{'budget': 'low', 'urgency': 'high', 'district': 'Ampara'}","['HAM135', 'AMP242', 'MAT108', 'KAN052', 'GAM018']",AMP242,MAT108,AMP242,True,5,2.18,
39,2025-08-31 20:43:33,user_29,OS Installation,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Kilinochchi'}","['KIL154', 'TRI214', 'MUL187', 'MAN169', 'MAN166', 'MUL182']",KIL154,KIL154,KIL154,True,5,1.94,
40,2025-09-23 04:31:33,user_78,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'medium', 'district': 'Kilinochchi'}","['BAT226', 'MON331', 'PUT273', 'KIL164', 'VAV201', 'BAT229']",PUT273,,KIL164,True,5,2.44,
41,2025-09-16 01:43:33,user_60,OS Installation,"{'budget': 'high', 'urgency': 'medium', 'district': 'Jaffna'}","['JAF140', 'KAL037', 'JAF138', 'KUR256', 'KEG361']",JAF140,,JAF140,True,5,0.82,
42,2025-09-03 05:45:33,user_17,OS Installation,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Mannar'}","['KAL035', 'MAN171', 'MAN170', 'VAV206', 'PUT271', 'VAV200', 'MAN176', 'POL312']",MAN171,,MAN171,True,5,2.73,
43,2025-09-23 02:37:33,user_6,RAM Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Hambantota'}","['MAT111', 'KAN051', 'COL010', 'MAT106', 'HAM126', 'NUW077', 'KIL160', 'JAF140']",KAN051,HAM126,HAM126,True,4,2.03,
44,2025-09-12 03:57:33,user_96,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Nuwara Eliya'}","['MAT111', 'MAT071', 'MON338', 'NUW078', 'KAL033']",NUW078,NUW078,NUW078,True,3,2.3,
45,2025-09-01 23:41:33,user_87,PSU / Power Issue,"{'budget': 'low', 'urgency': 'low', 'district': 'Colombo'}","['HAM129', 'JAF136', 'PUT271', 'MUL189', 'COL001', 'JAF146', 'KAN046']",COL001,,COL001,True,4,3.48,
46,2025-09-07 21:49:33,user_44,OS Installation,"{'budget': 'low', 'urgency': 'medium', 'district': 'Mannar'}","['COL002', 'AMP242', 'BAD328', 'MAN166', 'KEG364', 'BAD324']",AMP242,,MAN166,True,5,2.23,
47,2025-08-24 20:35:33,user_113,RAM Upgrade,"{'budget': 'low', 'urgency': 'low', 'district': 'Colombo'}","['KAL038', 'KAN056', 'COL008', 'GAM017', 'JAF145', 'COL012', 'POL315']",COL008,KAL038,COL008,True,5,3.48,
48,2025-08-29 19:18:33,user_102,Boot Failure,"{'budget': 'high', 'urgency': 'medium', 'district': 'Trincomalee'}","['COL002', 'MUL184', 'HAM121', 'TRI220', 'MAN171', 'RAT356', 'KAL035', 'KEG364']",HAM121,TRI220,TRI220,False,3,7.68,
49,2025-09-07 23:19:33,user_116,SSD Upgrade,"{'budget': 'low', 'urgency': 'high', 'district': 'Nuwara Eliya'}","['TRI211', 'MAT072', 'MAT064', 'MAT067', 'VAV198', 'BAD318', 'AMP242', 'NUW088']",NUW088,NUW088,NUW088,True,5,0.4,
50,2025-08-12 04:43:33,user_34,Boot Failure,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kalutara'}","['TRI219', 'BAT229', 'GAM026', 'KAL031', 'KAN048', 'KUR256']",KAL031,BAT229,KAL031,True,4,0.1,
51,2025-09-17 02:55:33,user_103,OS Installation,"{'budget': 'low', 'urgency': 'low', 'district': 'Galle'}","['JAF136', 'KAN056', 'GAL092', 'HAM123', 'VAV203', 'GAL098', 'COL014', 'HAM128']",GAL092,,GAL092,True,5,2.76,
52,2025-09-19 18:02:33,user_1,Data Recovery,"{'budget': 'low', 'urgency': 'medium', 'district': 'Matara'}","['GAL100', 'MAN171', 'BAD321', 'MAT120', 'GAL091']",MAT120,MAT120,MAT120,True,5,2.52,
53,2025-08-13 02:50:33,user_116,GPU Overheat,"{'budget': 'high', 'urgency': 'medium', 'district': 'Polonnaruwa'}","['MON334', 'COL001', 'POL312', 'GAM030', 'NUW080']",POL312,,POL312,True,3,1.32,
54,2025-09-04 01:07:33,user_102,GPU Overheat,"{'budget': 'high', 'urgency': 'high', 'district': 'Gampaha'}","['AMP246', 'MAT106', 'KAL043', 'VAV196', 'TRI222', 'GAM028', 'VAV206', 'COL014']",TRI222,,GAM028,True,5,3.35,
55,2025-08-17 00:05:33,user_9,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Hambantota'}","['ANU286', 'HAM124', 'MAT111', 'RAT346', 'GAL098', 'GAL091']",GAL091,HAM124,HAM124,True,5,0.62,
56,2025-09-13 20:24:33,user_117,Data Recovery,"{'budget': 'medium', 'urgency': 'high', 'district': 'Hambantota'}","['MAT071', 'BAT232', 'GAM020', 'HAM124', 'COL007', 'HAM129', 'BAT228']",HAM124,,HAM124,True,5,1.39,
57,2025-08-31 00:20:33,user_50,PSU / Power Issue,"{'budget': 'low', 'urgency': 'low', 'district': 'Jaffna'}","['MUL184', 'BAT230', 'COL004', 'JAF146', 'MAN168', 'MON332', 'KAN053']",KAN053,,JAF146,True,5,3.32,
58,2025-09-10 22:56:33,user_57,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Colombo'}","['MAT073', 'AMP241', 'HAM129', 'KUR269', 'COL001', 'KEG369', 'JAF142']",COL001,,COL001,False,3,5.74,
59,2025-08-16 05:26:33,user_19,Boot Failure,"{'budget': 'low', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['GAL104', 'KAL034', 'NUW078', 'RAT347', 'KAL033']",NUW078,NUW078,NUW078,True,5,1.97,
60,2025-08-16 20:07:33,user_69,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Trincomalee'}","['TRI214', 'BAD328', 'JAF142', 'KIL157', 'ANU295', 'KAN048']",TRI214,TRI214,TRI214,True,5,3.94,
61,2025-09-04 22:34:33,user_24,SSD Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Kandy'}","['TRI215', 'KAN060', 'KAN057', 'KAL031', 'BAT230', 'NUW079']",TRI215,,KAN057,True,5,1.66,
62,2025-09-18 00:46:33,user_62,Data Recovery,"{'budget': 'high', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['GAL103', 'ANU288', 'MUL182', 'JAF141', 'JAF138', 'NUW077']",NUW077,NUW077,NUW077,True,5,2.58,
63,2025-09-15 04:52:33,user_98,GPU Overheat,"{'budget': 'high', 'urgency': 'low', 'district': 'Anuradhapura'}","['GAM030', 'GAL098', 'ANU296', 'ANU299', 'MON332', 'MAT116']",ANU296,,ANU296,True,5,2.67,
64,2025-08-30 03:44:33,user_102,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Colombo'}","['KIL156', 'COL012', 'COL008', 'KAN060', 'KUR269']",COL012,COL012,COL012,True,3,1.66,
65,2025-08-26 19:01:33,user_54,SSD Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Mullaitivu'}","['KAL037', 'KUR266', 'MUL192', 'COL001', 'AMP255', 'NUW085']",MUL192,,MUL192,True,3,1.46,
66,2025-08-25 18:42:33,user_25,Data Recovery,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Mannar'}","['MON331', 'RAT351', 'KIL151', 'TRI216', 'GAL104', 'HAM125', 'MAN170', 'MON334']",MAN170,,MAN170,True,5,2.1,
67,2025-09-03 04:01:33,user_78,GPU Overheat,"{'budget': 'medium', 'urgency': 'low', 'district': 'Ratnapura'}","['AMP246', 'BAD326', 'RAT346', 'TRI211', 'GAL100', 'NUW082', 'KAL039', 'MAN173']",RAT346,KAL039,RAT346,False,2,4.22,
68,2025-09-20 19:20:33,user_22,RAM Upgrade,"{'budget': 'low', 'urgency': 'medium', 'district': 'Batticaloa'}","['MUL194', 'BAT230', 'GAL103', 'KIL163', 'JAF139']",BAT230,BAT230,BAT230,True,5,3.56,
69,2025-09-19 18:07:33,user_32,OS Installation,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kandy'}","['MAN174', 'GAM029', 'MAN177', 'KAL037', 'KAN049']",KAN049,KAN049,KAN049,True,5,0.1,
70,2025-09-06 18:45:33,user_44,OS Installation,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Anuradhapura'}","['MAT110', 'MON343', 'KAL038', 'MON338', 'ANU288']",KAL038,,ANU288,True,5,1.84,
71,2025-09-03 22:32:33,user_52,RAM Upgrade,"{'budget': 'low', 'urgency': 'low', 'district': 'Puttalam'}","['HAM121', 'POL302', 'BAD323', 'TRI222', 'PUT271', 'GAM023', 'GAL097']",PUT271,,PUT271,True,5,4.04,
72,2025-09-24 05:39:33,user_76,RAM Upgrade,"{'budget': 'high', 'urgency': 'medium', 'district': 'Trincomalee'}","['KAL044', 'POL301', 'MAT113', 'BAD321', 'TRI218', 'TRI214', 'COL001', 'GAL095']",TRI218,,TRI218,True,4,1.93,
73,2025-08-17 19:37:33,user_68,Boot Failure,"{'budget': 'high', 'urgency': 'medium', 'district': 'Trincomalee'}","['KIL155', 'GAM026', 'TRI219', 'MAT107', 'BAD324', 'KIL158']",TRI219,TRI219,TRI219,False,3,6.38,
74,2025-09-19 00:01:33,user_91,Boot Failure,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Badulla'}","['BAD319', 'AMP241', 'MAN166', 'BAT228', 'COL004']",BAD319,,BAD319,True,4,3.34,
75,2025-09-20 00:45:33,user_97,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Vavuniya'}","['GAL091', 'MAN180', 'VAV196', 'GAM020', 'KAL037', 'JAF137', 'BAT229']",BAT229,,VAV196,True,4,2.71,
76,2025-09-16 03:00:33,user_90,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'medium', 'district': 'Badulla'}","['PUT283', 'COL008', 'MUL188', 'BAD325', 'HAM123', 'MUL182']",BAD325,,BAD325,False,2,6.5,
77,2025-08-25 22:00:33,user_29,Wi‑Fi Adapter Upgrade,"{'budget': 'low', 'urgency': 'high', 'district': 'Gampaha'}","['KAN048', 'GAL100', 'GAM028', 'RAT349', 'POL303', 'KEG365', 'KEG364']",GAM028,GAM028,GAM028,True,5,2.24,
78,2025-08-20 18:05:33,user_45,Data Recovery,"{'budget': 'low', 'urgency': 'low', 'district': 'Monaragala'}","['MON331', 'TRI211', 'KAL031', 'KUR270', 'MON336', 'MAT062']",MAT062,MON331,MON331,True,5,2.76,
79,2025-08-13 02:46:33,user_47,OS Installation,"{'budget': 'low', 'urgency': 'medium', 'district': 'Monaragala'}","['KAL042', 'MUL193', 'MON338', 'MAT108', 'MAT114', 'GAM029', 'COL007', 'KAL037']",MON338,,MON338,True,5,1.19,
80,2025-08-22 02:33:33,user_4,RAM Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Jaffna'}","['KAL035', 'NUW076', 'KEG371', 'KAL044', 'JAF140', 'TRI213', 'JAF144', 'GAM021']",JAF144,JAF144,JAF144,False,3,6.54,
81,2025-08-29 03:53:33,user_108,Boot Failure,"{'budget': 'low', 'urgency': 'low', 'district': 'Matara'}","['BAD328', 'KAN059', 'TRI213', 'KAL037', 'MAT120', 'MAT107', 'KUR256', 'AMP253']",KAL037,,MAT120,True,3,3.61,
82,2025-09-09 22:28:33,user_86,Laptop Screen Repair,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kalutara'}","['AMP245', 'MAT112', 'KAL039', 'HAM132', 'KAL037', 'HAM126']",KAL037,KAL037,KAL037,False,2,7.16,
83,2025-09-15 18:25:33,user_60,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'low', 'district': 'Gampaha'}","['RAT360', 'GAM022', 'KIL157', 'RAT357', 'VAV199', 'VAV201']",KIL157,GAM022,GAM022,True,5,0.27,
84,2025-08-23 23:59:33,user_76,Data Recovery,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kandy'}","['KAN047', 'GAL092', 'KAN058', 'PUT275', 'KAL037', 'BAT238', 'RAT348', 'NUW085']",KAN047,KAN047,KAN047,True,5,2.32,
85,2025-08-25 22:55:33,user_46,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Colombo'}","['COL005', 'BAT226', 'GAM023', 'POL313', 'KUR261', 'MAT116', 'MAT075', 'KEG366']",COL005,,COL005,True,4,1.66,
86,2025-09-07 01:03:33,user_36,PSU / Power Issue,"{'budget': 'low', 'urgency': 'medium', 'district': 'Matara'}","['MAT115', 'MAT073', 'GAL092', 'KAL034', 'KIL152']",MAT115,,MAT115,True,3,2.78,
87,2025-08-21 01:49:33,user_76,Wi‑Fi Adapter Upgrade,"{'budget': 'low', 'urgency': 'medium', 'district': 'Ratnapura'}","['RAT352', 'KAL034', 'GAL098', 'MAT073', 'AMP241', 'GAM017', 'POL302', 'VAV203']",RAT352,AMP241,RAT352,True,5,2.39,
88,2025-08-18 00:21:33,user_13,Boot Failure,"{'budget': 'high', 'urgency': 'low', 'district': 'Kandy'}","['VAV206', 'KIL151', 'KAN047', 'RAT352', 'ANU300', 'MON334']",KAN047,,KAN047,True,5,1.52,
89,2025-09-08 21:04:33,user_7,OS Installation,"{'budget': 'high', 'urgency': 'low', 'district': 'Jaffna'}","['PUT272', 'ANU299', 'POL304', 'MAN172', 'JAF136', 'BAT231']",PUT272,JAF136,JAF136,True,3,1.17,
90,2025-09-07 22:48:33,user_8,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'low', 'district': 'Mullaitivu'}","['MUL184', 'HAM123', 'COL004', 'RAT352', 'POL301']",MUL184,MUL184,MUL184,True,5,0.97,
91,2025-09-10 22:53:33,user_20,RAM Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Kegalle'}","['GAM028', 'MAT115', 'MAT067', 'KEG370', 'COL008', 'JAF136', 'KAN048', 'KEG361']",KEG361,KEG361,KEG361,True,5,2.7,
92,2025-09-02 21:15:33,user_39,OS Installation,"{'budget': 'medium', 'urgency': 'low', 'district': 'Kegalle'}","['VAV203', 'MAT075', 'AMP244', 'COL015', 'KEG363']",KEG363,KEG363,KEG363,True,5,0.98,
93,2025-08-20 23:04:33,user_59,OS Installation,"{'budget': 'low', 'urgency': 'high', 'district': 'Kilinochchi'}","['PUT271', 'KIL151', 'HAM133', 'KAL036', 'BAT231', 'BAD319', 'KIL152']",KIL151,,KIL151,True,5,2.77,
94,2025-09-20 20:50:33,user_4,Laptop Screen Repair,"{'budget': 'low', 'urgency': 'high', 'district': 'Mullaitivu'}","['RAT349', 'KAL040', 'RAT346', 'KEG362', 'BAT226', 'MUL186']",BAT226,MUL186,MUL186,True,5,2.16,
95,2025-08-14 21:53:33,user_64,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Matale'}","['MAT109', 'VAV208', 'AMP243', 'HAM131', 'MAT063']",MAT063,MAT063,MAT063,True,4,2.1,
96,2025-09-05 00:00:33,user_72,Data Recovery,"{'budget': 'low', 'urgency': 'low', 'district': 'Kurunegala'}","['HAM121', 'TRI218', 'KUR261', 'ANU287', 'VAV207', 'MON332', 'BAD330']",KUR261,,KUR261,False,3,5.4,
97,2025-09-23 21:14:33,user_62,GPU Overheat,"{'budget': 'high', 'urgency': 'medium', 'district': 'Puttalam'}","['COL008', 'BAT238', 'NUW085', 'GAL100', 'MAN167', 'PUT274', 'KAN055', 'TRI212']",PUT274,,PUT274,True,5,2.44,
98,2025-09-09 02:52:33,user_85,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Gampaha'}","['GAM018', 'MAN179', 'COL001', 'KEG365', 'BAD319', 'KAN057']",GAM018,GAM018,GAM018,True,5,1.44,
99,2025-09-13 02:43:33,user_8,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Gampaha'}","['GAM027', 'MON336', 'KEG366', 'KIL165', 'KIL162', 'KAL032']",GAM027,,GAM027,True,5,2.2,
100,2025-09-06 01:25:33,user_16,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'low', 'district': 'Mullaitivu'}","['GAM019', 'GAL098', 'MUL183', 'MAT113', 'NUW089']",MUL183,,MUL183,True,5,3.8,
101,2025-09-19 19:19:33,user_41,Data Recovery,"{'budget': 'low', 'urgency': 'high', 'district': 'Matara'}","['NUW090', 'JAF142', 'AMP241', 'MAT117', 'RAT347', 'MON343', 'KAN052']",NUW090,MAT117,MAT117,True,4,0.75,
102,2025-09-07 01:13:33,user_66,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'low', 'district': 'Nuwara Eliya'}","['NUW076', 'KUR268', 'KEG367', 'HAM125', 'MAT071', 'GAM016', 'COL006']",MAT071,NUW076,NUW076,True,5,2.04,
103,2025-08-27 19:27:33,user_110,GPU Overheat,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Colombo'}","['GAM016', 'COL007', 'GAM030', 'COL003', 'TRI218', 'GAM017', 'POL308']",COL007,,COL007,True,5,0.76,
104,2025-09-14 04:41:33,user_48,GPU Overheat,"{'budget': 'high', 'urgency': 'low', 'district': 'Polonnaruwa'}","['COL005', 'KAL035', 'MAT061', 'POL305', 'KEG367', 'MON336', 'HAM128']",POL305,,POL305,True,4,1.37,
105,2025-09-09 22:30:33,user_105,Data Recovery,"{'budget': 'medium', 'urgency': 'high', 'district': 'Vavuniya'}","['VAV207', 'GAM022', 'TRI212', 'MAT062', 'KEG362']",VAV207,,VAV207,True,5,0.84,
106,2025-09-22 00:28:33,user_13,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'low', 'district': 'Nuwara Eliya'}","['NUW081', 'AMP243', 'GAM030', 'MUL184', 'RAT350', 'AMP242', 'TRI219']",RAT350,NUW081,NUW081,True,3,2.4,
107,2025-09-19 23:03:33,user_26,PSU / Power Issue,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kandy'}","['GAM027', 'MAT068', 'GAM019', 'KAN052', 'MUL183', 'KUR256', 'JAF144', 'MAN179']",MUL183,,KAN052,True,5,3.84,
