text,error_type
Laptop hinge is very tight and makes noise.,General Repair
Computer randomly loses power.,PSU / Power Issue
The SSD disappears from BIOS sometimes.,SSD Upgrade
Games take forever to load.,SSD Upgrade
PC cannot detect RAM sticks after cleaning.,RAM Upgrade
Laptop fan never spins even when hot.,CPU Overheat
PC freezes when connecting HDMI cable.,Monitor or GPU Check
Internet disconnects when downloading files.,Wi-Fi Adapter Upgrade
Keyboard RGB lights stop working.,General Repair
"PC shows ""CPU temperature too high"" warning.",CPU Overheat
Laptop touchpad is unresponsive sometimes.,General Repair
Monitor has ghosting effect in games.,Monitor or GPU Check
Computer cannot detect secondary hard drive.,SSD Upgrade
PC shuts down after GPU reaches high usage.,PSU / Power Issue
Clicking on apps takes too long to respond.,SSD Upgrade
My USB ports stop working after a few minutes.,USB / Port Issue
The pc makes a whistling noise when running.,PSU / Power Issue
Laptop overheats even with cooling pad.,CPU Overheat
Wireless mouse lags randomly.,USB / Port Issue
Laptop screen flickers when opening the lid.,Monitor or GPU Check
Games stutter after a few minutes of play.,GPU Overheat
PC crashes when GPU driver updates.,GPU Upgrade
Slow internet only when streaming videos.,Wi-Fi Adapter Upgrade
The computer cannot connect to any Bluetooth device.,General Repair
PC does not wake from sleep mode.,Windows Boot Failure
Laptop makes popping noise from speakers.,General Repair
Keyboard keys respond with delay.,General Repair
PC shuts down when plugging in more USB devices.,PSU / Power Issue
Apps freeze when switching desktops.,RAM Upgrade
System takes too long to open File Explorer.,SSD Upgrade
Laptop shuts down at 50% battery.,General Repair
Computer emits burning smell occasionally.,PSU / Power Issue
PC screen becomes blurry randomly.,Monitor or GPU Check
The computer gets stuck on black screen after boot.,Windows Boot Failure
Monitor randomly switches refresh rate.,Monitor or GPU Check
USB headphone mic not detected by PC.,USB / Port Issue
Computer refuses to connect to external monitor.,Monitor or GPU Check
PC freezes when downloading games.,SSD Upgrade
The fan speed increases suddenly without load.,CPU Overheat
PC overheats only during video calls.,CPU Overheat
Laptop hangs when unplugging charger.,PSU / Power Issue
Games keep crashing after a few minutes.,GPU Overheat
The PC does not detect the Wi-Fi adapter.,Wi-Fi Adapter Upgrade
SSD read/write speeds are very slow.,SSD Upgrade
Graphics card shows error in Device Manager.,GPU Upgrade
Laptop restarts when moved slightly.,PSU / Power Issue
Monitor shows static noise sometimes.,Monitor or GPU Check
PC shuts down instantly under load.,PSU / Power Issue
The computer lags heavily after Windows update.,SSD Upgrade
Computer stuck in boot loop,PSU / Power Issue
System freezes on Windows logo,SSD Upgrade
Fans spin but no POST,PSU / Power Issue
Laptop not charging even when plugged in,PSU / Power Issue
Motherboard LED glows but PC won't boot,PSU / Power Issue
GPU reaches 90°C while gaming,CPU Overheat
Thermal throttling in games,CPU Overheat
Liquid cooler pump not detected,CPU Overheat
PC extremely loud under small load,CPU Overheat
FPS drops after few minutes of gameplay,GPU Upgrade
Stuttering when moving camera in games,GPU Upgrade
Sudden FPS spikes and freezes,GPU Upgrade
Game crashes after loading screen,GPU Upgrade
Screen tearing during gameplay,GPU Upgrade
Game closes without error,GPU Upgrade
Monitor loses signal during gaming,General Repair
Mouse lag only in games,GPU Upgrade
GPU thermal throttling while gaming,CPU Overheat
DirectX error during game startup,GPU Upgrade
Disk usage stays at 100%,SSD Upgrade
Files take too long to copy,SSD Upgrade
Not enough storage to install apps,SSD Upgrade
Windows update fails due to low disk,SSD Upgrade
Random file corruption issues,SSD Upgrade
HDD extremely noisy,SSD Upgrade
PC freezes when accessing folders,SSD Upgrade
Storage not recognized after BIOS update,SSD Upgrade
Partition missing after restart,SSD Upgrade
Game installed on HDD loads very slowly,SSD Upgrade
File transfer freezes randomly,SSD Upgrade
Memory usage reaches 90% on idle,RAM Upgrade
PC crashes with memory management BSOD,RAM Upgrade
Random reboots with no error,RAM Upgrade
Laptop RAM not detected,RAM Upgrade
Applications stop responding,RAM Upgrade
RAM slot not working,RAM Upgrade
System beeps indicating memory error,RAM Upgrade
Heavy lag when switching apps,RAM Upgrade
Excel or Photoshop crashes,RAM Upgrade
Games crash randomly,RAM Upgrade
Memory leak in background processes,RAM Upgrade
PC restarts when using too many apps,RAM Upgrade
Virtual memory warning,RAM Upgrade
Ethernet not detecting cable,General Repair
Router works but PC won't connect,General Repair
Websites take too long to load,General Repair
Can't connect to 5GHz network,General Repair
Display turns black during use,General Repair
Monitor turns off by itself,General Repair
Lines appearing on the display,General Repair
Ghosting while scrolling,General Repair
Monitor stuck at 60hz,General Repair
Dual monitor not detected,General Repair
Dead pixels appearing,General Repair
Backlight bleed visible at corners,General Repair
Display showing artifacts,General Repair
Flickering only during games,General Repair
Screen goes dim on battery,General Repair
GPU overheating even on idle,GPU Upgrade
GPU power spikes,GPU Upgrade
Memory overclock unstable,GPU Upgrade
Black screen when GPU under load,GPU Upgrade
Fans spin at 100% at random,GPU Upgrade
GPU not giving display but fans spin,GPU Upgrade
GPU overheats after cleaning,GPU Upgrade
GPU shuts PC down when fan ramps,GPU Upgrade
CPU temp spikes instantly,CPU Overheat
BIOS not detecting new CPU,General Repair
CPU throttles at 60°C,CPU Overheat
System unstable after overclock,General Repair
PC cannot encode videos smoothly,General Repair
PC beeps continuously and won't boot,PSU / Power Issue
BIOS screen keeps appearing every startup,Windows Boot Failure
PC requires multiple attempts to turn on,PSU / Power Issue
PC powers on only when cables are adjusted,PSU / Power Issue
Gaming laptop overheats on performance mode,CPU Overheat
High ping in online games,General Repair
Boot failure due to faulty RAM,RAM Upgrade
Only half RAM usable,RAM Upgrade
Blue screen when RAM reaches max usage,RAM Upgrade
Limited connectivity error,General Repair
Wi-Fi not showing any networks,General Repair
High ping despite fast internet,General Repair
Wi-Fi adapter missing from device manager,General Repair
Hotspot not working,General Repair
Random internet dropouts,General Repair
GPU artifacts on screen,GPU Upgrade
Heavy stuttering when CPU boosts,General Repair
Laptop CPU underclocked permanently,General Repair
CPU fails stress test,General Repair
Network drops during video call,General Repair
Bluetooth no working,General Repair
Bluetooth not working,General Repair
Bluetooth doesn't work,General Repair
Bluetooth not connecting,General Repair
Bluetooth won't connect,General Repair
